,trade_id,fund_id,dealDate,dealTime,symbol,side,price,qty,s_info_windcode,direction,trade_dt,trade_time
3367,0000000039915804,44,20250821,130022095,600067,2,3.340,1000,600067.SZ,S,2025-08-21,13:00:22.095000
3368,0000000039895853,60,20250821,130019486,603993,1,11.110,200,603993.SZ,B,2025-08-21,13:00:19.486000
3369,0102000049365889,62,20250821,130016470,000959,1,4.220,1300,000959.SH,B,2025-08-21,13:00:16.470000
3370,0102000049365891,60,20250821,130016470,000959,1,4.220,800,000959.SH,B,2025-08-21,13:00:16.470000
3371,0103000052196912,44,20250821,130015781,002803,2,17.760,300,002803.SH,S,2025-08-21,13:00:15.781000
3372,0102000049339623,60,20250821,130013230,002626,1,19.390,800,002626.SH,B,2025-08-21,13:00:13.230000
3373,0102000049339493,60,20250821,130013210,002626,1,19.390,100,002626.SH,B,2025-08-21,13:00:13.210000
3374,0102000049337799,60,20250821,130013060,002626,1,19.390,100,002626.SH,B,2025-08-21,13:00:13.060000
3375,0102000049337767,60,20250821,130013050,002626,1,19.390,100,002626.SH,B,2025-08-21,13:00:13.050000
3376,0102000049337719,60,20250821,130013050,002626,1,19.390,300,002626.SH,B,2025-08-21,13:00:13.050000
3377,0102000049337645,60,20250821,130013040,002626,1,19.390,100,002626.SH,B,2025-08-21,13:00:13.040000
3378,0101000050807280,44,20250821,130014276,002233,1,8.940,100,002233.SH,B,2025-08-21,13:00:14.276000
3379,0103000052177488,44,20250821,130013686,003015,2,18.170,100,003015.SH,S,2025-08-21,13:00:13.686000
3380,0103000052133809,60,20250821,130011800,002158,1,23.970,200,002158.SH,B,2025-08-21,13:00:11.800000
3381,0000000039857081,44,20250821,130013401,600732,1,14.840,200,600732.SZ,B,2025-08-21,13:00:13.401000
3382,0000000039835453,60,20250821,130011897,688256,2,1052.050,200,688256.SZ,S,2025-08-21,13:00:11.897000
3383,0000000039825966,44,20250821,130011607,600491,2,3.490,700,600491.SZ,S,2025-08-21,13:00:11.607000
3384,0000000039825951,44,20250821,130011607,603366,2,11.280,100,603366.SZ,S,2025-08-21,13:00:11.607000
3385,0000000039811346,62,20250821,130010751,600919,1,11.330,200,600919.SZ,B,2025-08-21,13:00:10.751000
3386,0000000039811347,60,20250821,130010751,600919,1,11.330,8500,600919.SZ,B,2025-08-21,13:00:10.751000
3387,0103000052113737,44,20250821,130011031,301123,1,43.180,100,301123.SH,B,2025-08-21,13:00:11.031000
3388,0102000049278897,60,20250821,130010010,002020,1,19.030,100,002020.SH,B,2025-08-21,13:00:10.010000
3389,0000000039789282,44,20250821,130010005,688686,2,122.760,200,688686.SZ,S,2025-08-21,13:00:10.005000
3390,0000000039768619,44,20250821,130009021,600489,1,14.600,100,600489.SZ,B,2025-08-21,13:00:09.021000
3391,0000000039746002,60,20250821,130007862,603119,2,67.000,100,603119.SZ,S,2025-08-21,13:00:07.862000
3392,0000000039752134,62,20250821,130008124,603699,1,32.950,100,603699.SZ,B,2025-08-21,13:00:08.124000
3393,0000000039746001,60,20250821,130007862,603119,2,67.020,100,603119.SZ,S,2025-08-21,13:00:07.862000
3394,0000000039741602,44,20250821,130007906,688314,2,40.260,200,688314.SZ,S,2025-08-21,13:00:07.906000
3395,0000000039713529,60,20250821,130006419,600486,2,68.450,200,600486.SZ,S,2025-08-21,13:00:06.419000
3396,0000000039727217,44,20250821,130007239,600664,2,4.020,300,600664.SZ,S,2025-08-21,13:00:07.239000
3397,0000000039727216,44,20250821,130007239,600664,2,4.020,1400,600664.SZ,S,2025-08-21,13:00:07.239000
3398,0104000048525961,44,20250821,130002705,300872,1,27.840,100,300872.SH,B,2025-08-21,13:00:02.705000
3399,0104000048522920,60,20250821,130002580,300274,2,93.190,100,300274.SH,S,2025-08-21,13:00:02.580000
3400,0105000050388047,44,20250821,130001708,300130,2,33.800,100,300130.SH,S,2025-08-21,13:00:01.708000
3401,0101000050555440,44,20250821,130001696,300153,1,46.390,100,300153.SH,B,2025-08-21,13:00:01.696000
3402,0103000051886287,60,20250821,130000880,002558,1,29.720,100,002558.SH,B,2025-08-21,13:00:00.880000
3403,0103000051886047,60,20250821,130000880,002558,1,29.720,100,002558.SH,B,2025-08-21,13:00:00.880000
3404,0102000049159441,62,20250821,130002240,300972,1,152.680,100,300972.SH,B,2025-08-21,13:00:02.240000
3405,0101000050492696,60,20250821,130000840,300680,2,45.160,200,300680.SH,S,2025-08-21,13:00:00.840000
3406,0103000051878092,60,20250821,130000820,002558,1,29.720,100,002558.SH,B,2025-08-21,13:00:00.820000
3407,0101000050158407,61,20250821,112914480,000006,1,7.400,600,000006.SH,B,2025-08-21,11:29:14.480000
