,代码,昨收
1278,603369,39.91
1279,603368,18.25
1280,603367,31.5
1281,603366,9.61
1282,603365,17.54
1283,603363,3.63
1284,603360,22.32
1285,603359,7.58
1286,603358,38.25
1287,603357,8.72
1288,603356,13.53
1289,603355,23.77
1290,603353,16.8
1291,603351,30.96
1292,603350,43.87
1293,603348,21.03
1294,603345,73.63
1295,603344,26.92
1296,603341,40.5
1297,603339,13.11
1298,603338,52.76
1299,603337,52.12
1300,603336,8.0
1301,603335,5.21
1302,603333,8.12
1303,603332,14.14
1304,603331,11.03
1305,603330,7.12
1306,603329,12.08
1307,603328,10.49
1308,603327,9.77
1309,603326,9.5
1310,603325,86.38
1311,603324,26.9
1312,603323,5.34
1313,603322,37.03
1314,603321,8.42
1315,603320,19.27
1316,603319,34.41
1317,603318,6.71
1318,603317,11.82
1319,603316,8.43
1320,603315,13.26
1321,603313,8.37
1322,603312,46.65
1323,603311,11.62
1324,603310,18.56
1325,603309,14.78
1326,603308,26.68
1327,603307,39.29
1328,603306,49.66
1329,603305,14.16
1330,603303,13.88
1331,603301,23.22
1332,603300,10.96
1333,603299,10.93
1334,603298,22.06
1335,603297,91.92
1336,603296,84.7
1337,603291,12.04
1338,603290,95.0
1339,603289,9.98
1340,603288,38.77
1341,603286,33.78
1342,603285,24.28
1343,603283,41.25
1344,603282,17.93
1345,603281,24.76
1346,603280,59.4
1347,603279,15.79
1348,603278,10.69
1349,603277,17.48
1350,603276,17.0
1351,603275,54.01
1352,603273,22.49
1353,603272,19.2
1354,603271,38.96
1355,603270,26.84
1356,603269,11.01
1357,603268,51.3
1358,603267,56.21
1359,603266,20.9
1360,603262,29.94
1361,603261,20.73
1362,603260,51.55
1363,603259,98.68
1364,603258,22.9
1365,603257,51.77
1366,603256,29.87
1367,603255,31.53
1368,603239,15.88
1369,603238,19.18
1370,603237,17.38
1371,603236,86.13
1372,603235,28.67
1373,603233,16.88
1374,603232,15.75
1375,603231,17.2
1376,603230,13.17
1377,603229,11.09
1378,603228,54.78
1379,603227,8.7
1380,603226,21.7
1381,603225,12.76
1382,603223,10.0
1383,603222,8.1
1384,603221,13.93
1385,603220,21.77
1386,603219,16.64
1387,603218,12.91
1388,603217,18.38
1389,603216,14.41
1390,603215,18.7
1391,603214,19.2
1392,603213,13.74
1393,603212,11.35
1394,603211,19.35
1395,603210,20.5
1396,603209,15.19
1397,603208,14.7
1398,603207,35.91
1399,603206,17.84
1400,603205,29.83
1401,603203,27.52
1402,603202,100.41
1403,603201,17.26
1404,603200,66.21
1405,603199,35.6
1406,603198,41.67
1407,603197,40.14
1408,603196,21.91
1409,603195,47.33
1410,603194,42.38
1411,603193,31.99
1412,603192,22.08
1413,603191,14.51
1414,603190,24.6
1415,603189,21.48
1416,603188,4.4
1417,603187,12.72
1418,603186,35.5
1419,603185,18.01
1420,603183,4.41
1421,603182,14.41
1422,603181,15.51
1423,603180,21.04
1424,603179,47.14
1425,603178,18.3
1426,603177,9.84
1427,603176,6.94
1428,603173,43.8
1429,603172,17.07
1430,603171,48.88
1431,603170,13.15
1432,603169,7.66
1433,603168,7.96
1434,603167,10.51
1435,603166,17.09
1436,603165,12.23
1437,603163,32.2
1438,603162,8.76
1439,603161,14.15
1440,603160,76.02
1441,603159,20.37
1442,603158,10.23
1443,603157,0.59
1444,603156,21.27
1445,603155,18.32
1446,603153,18.56
1447,603151,23.7
1448,603150,38.08
1449,603139,22.6
1450,603138,15.65
1451,603137,15.3
1452,603136,12.48
1453,603135,10.26
1454,603133,0.29
1455,603132,13.47
1456,603131,19.7
1457,603130,45.0
1458,603129,269.04
1459,603128,6.23
1460,603127,32.21
1461,603126,7.44
1462,603125,19.2
1463,603124,63.5
1464,603123,14.45
1465,603122,7.06
1466,603121,18.6
1467,603120,40.88
1468,603119,61.55
1469,603118,11.55
1470,603117,5.5
1471,603116,6.3
1472,603115,15.93
1473,603113,7.89
1474,603112,16.56
1475,603111,6.57
1476,603110,15.46
1477,603109,36.22
1478,603108,17.79
1479,603107,15.74
1480,603106,10.73
1481,603105,8.31
1482,603103,16.39
1483,603102,42.39
1484,603101,8.01
1485,603100,20.26
1486,603099,38.55
1487,603098,12.66
1488,603097,21.68
1489,603096,18.79
1490,603095,15.66
1491,603093,24.52
1492,603091,61.31
1493,603090,35.04
1494,603089,15.85
