代码,昨收
002757,20.51
603682,6.18
002736,13.76
600653,1.93
600115,3.84
000721,8.53
002717,1.7
000863,3.58
002708,11.3
300291,6.16
002430,22.68
002495,2.76
002252,6.93
002191,4.09
002012,6.38
600258,13.97
001979,8.89
301103,23.87
301088,14.86
603167,10.51
000564,2.28
300205,5.28
000039,8.16
000630,4.05
000631,3.05
002251,4.81
600282,4.52
600162,1.7
001366,13.51
600575,3.51
002274,6.84
001336,24.37
001333,22.3
600170,2.45
600759,2.44
000650,5.84
002285,2.39
600755,6.28
002293,8.63
301006,17.7
601339,5.53
002016,5.63
603128,6.37
000581,20.19
600790,3.83
603077,1.9
003035,4.78
002098,9.5
002100,6.59
600805,5.68
003032,6.66
002060,3.73
600236,6.41
002059,5.16
600239,2.47
000599,5.13
000592,3.01
000605,7.46
000589,4.58
002035,6.54
603101,8.2
000031,3.11
600249,5.91
002146,1.43
600227,2.47
600795,4.56
603118,11.4
600219,4.11
300198,2.4
600824,4.32
688591,47.55
600792,3.89
002998,8.47
603866,5.58
688663,30.8
600518,2.07
300255,44.46
002387,9.69
000995,14.65
000990,7.7
601618,3.2
002390,3.77
000544,8.62
002400,7.87
002083,5.01
600725,3.39
600327,4.98
600717,4.92
002452,7.46
000950,5.31
601566,9.2
300013,4.18
600470,5.75
000692,3.8
600125,5.84
601500,4.68
002482,1.81
603395,34.1
603388,2.27
600883,8.58
600713,5.26
002489,3.71
002375,4.01
002374,2.84
002367,7.5
300989,17.42
000555,13.15
002310,2.09
002494,5.43
300973,44.17
600854,5.6
002314,2.9
601366,4.72
000663,7.14
601838,18.84
600489,14.62
603269,10.96
002493,9.21
000665,6.07
001279,40.13
002335,44.16
300892,33.27
600736,5.63
000545,2.89
600299,10.21
601369,8.9
838275,9.9
000685,10.19
300860,29.64
603392,56.58
688083,67.89
301421,78.54
000799,49.82
300573,62.45
688596,34.95
301299,64.78
300628,34.19
600298,35.52
000661,104.44
300999,30.76
836699,45.52
600749,22.96
300077,25.03
605060,25.02
688411,92.81
002281,50.85
688656,113.43
603568,19.18
688036,86.9
300170,18.54
603178,18.64
300595,18.87
301057,20.38
605338,20.83
300833,36.57
001872,20.48
300918,20.17
001205,16.61
002352,47.1
300346,32.24
430685,16.55
002174,15.88
301598,64.64
603125,17.28
002541,17.97
600926,16.24
002209,16.62
605155,13.63
300469,43.57
603711,13.74
002635,13.97
603580,14.8
688121,14.44
300729,14.81
003039,14.15
600520,29.62
000888,13.8
301602,28.68
002438,14.59
301608,83.99
301148,25.88
001337,23.59
300231,12.82
603033,12.05
688652,61.4
301065,25.27
688045,38.92
002654,12.23
002324,13.17
002338,49.2
605198,49.01
002806,12.56
601098,12.93
002853,13.05
002216,11.35
600420,11.38
688350,22.39
300286,22.86
600267,11.2
301203,34.88
688008,90.83
300947,22.61
603221,11.53
300471,11.54
430198,10.9
600054,11.76
688768,52.81
301428,40.73
301628,89.46
002960,10.52
002835,19.13
831689,41.22
300468,38.36
603983,41.78
